,Content
553,Session: 30546174_85241882 initialized by client WindowsUpdateAgent.
554,"Read out cached package applicability for package: Package_for_KB3020370~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
555,Session: 30546174_85811915 initialized by client WindowsUpdateAgent.
556,"Read out cached package applicability for package: Package_for_KB3003743~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
557,Session: 30546174_88182050 initialized by client WindowsUpdateAgent.
558,"Read out cached package applicability for package: Package_for_KB3020387~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 80, CurrentState:0"
559,Session: 30546174_88262055 initialized by client WindowsUpdateAgent.
560,"Read out cached package applicability for package: Package_for_KB2884256~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
561,Session: 30546174_88342059 initialized by client WindowsUpdateAgent.
562,"Read out cached package applicability for package: Package_for_KB3163245~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
563,Session: 30546174_88462066 initialized by client WindowsUpdateAgent.
564,"Read out cached package applicability for package: Package_for_KB2660075~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
565,Session: 30546174_88482067 initialized by client WindowsUpdateAgent.
566,"Read out cached package applicability for package: Package_for_KB3022777~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
567,Session: 30546174_88742082 initialized by client WindowsUpdateAgent.
568,"Read out cached package applicability for package: Package_for_KB3161561~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112"
569,Session: 30546174_89042099 initialized by client WindowsUpdateAgent.
570,"Read out cached package applicability for package: Package_for_KB2800095~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112"
571,Session: 30546174_89092102 initialized by client WindowsUpdateAgent.
572,"Read out cached package applicability for package: Package_for_KB2818604~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:0"
573,Session: 30546174_89122104 initialized by client WindowsUpdateAgent.
574,"Read out cached package applicability for package: Package_for_KB2570947~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
575,Session: 30546174_89272113 initialized by client WindowsUpdateAgent.
576,"Read out cached package applicability for package: Package_for_KB3035132~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112"
577,Session: 30546174_89322115 initialized by client WindowsUpdateAgent.
578,"Read out cached package applicability for package: Package_for_KB2972100~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
579,Session: 30546174_89562129 initialized by client WindowsUpdateAgent.
580,"Read out cached package applicability for package: Package_for_KB2966583~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
581,Session: 30546174_89962152 initialized by client WindowsUpdateAgent.
582,"Read out cached package applicability for package: Package_for_KB2685811~31bf3856ad364e35~amd64~~6.1.1.11, ApplicableState: 112, CurrentState:112"
583,Session: 30546174_90352174 initialized by client WindowsUpdateAgent.
584,"Read out cached package applicability for package: Package_for_KB3110329~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
585,Session: 30546174_90632190 initialized by client WindowsUpdateAgent.
586,"Read out cached package applicability for package: Package_for_KB2545698~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 112, CurrentState:112"
587,Session: 30546174_90692194 initialized by client WindowsUpdateAgent.
588,"Read out cached package applicability for package: Package_for_KB3124280~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
589,Session: 30546174_90722196 initialized by client WindowsUpdateAgent.
590,"Read out cached package applicability for package: Microsoft-Hyper-V-Integration-Services-Package~31bf3856ad364e35~amd64~~6.3.9600.17388, ApplicableState: 112, CurrentState:0"
591,Session: 30546174_90802200 initialized by client WindowsUpdateAgent.
592,Session: 30546174_90832202 initialized by client WindowsUpdateAgent.
593,"Read out cached package applicability for package: Package_for_KB2676562~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 112, CurrentState:112"
594,Session: 30546174_90912206 initialized by client WindowsUpdateAgent.
595,"Read out cached package applicability for package: Package_for_KB2970228~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
596,Session: 30546174_91002212 initialized by client WindowsUpdateAgent.
597,"Read out cached package applicability for package: Package_for_KB2512715~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 0, CurrentState:0"
598,Session: 30546174_91262226 initialized by client WindowsUpdateAgent.
599,"Read out cached package applicability for package: Package_for_KB2965788~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112"
600,Session: 30546174_91282228 initialized by client WindowsUpdateAgent.
601,"Read out cached package applicability for package: Package_for_KB3030377~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
602,Session: 30546174_91382233 initialized by client WindowsUpdateAgent.
603,"Read out cached package applicability for package: Package_for_KB3021917~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 112, CurrentState:112"
604,Session: 30546174_91422236 initialized by client WindowsUpdateAgent.
605,"Read out cached package applicability for package: Package_for_KB2853952~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
606,Session: 30546174_91472238 initialized by client WindowsUpdateAgent.
607,"Read out cached package applicability for package: Package_for_KB2706045~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:0"
608,Session: 30546174_91532242 initialized by client WindowsUpdateAgent.
609,"Read out cached package applicability for package: Package_for_KB2510531~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112"
610,Session: 30546174_91592245 initialized by client WindowsUpdateAgent.
611,"Read out cached package applicability for package: Package_for_KB2847927~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
612,Session: 30546174_91672250 initialized by client WindowsUpdateAgent.
613,"Read out cached package applicability for package: Package_for_KB2604115~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 112, CurrentState:112"
614,Session: 30546174_92052272 initialized by client WindowsUpdateAgent.
615,"Read out cached package applicability for package: Package_for_KB3013531~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112"
616,Session: 30546174_92302286 initialized by client WindowsUpdateAgent.
617,"Read out cached package applicability for package: Package_for_KB2893519~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
618,Session: 30546174_93492354 initialized by client WindowsUpdateAgent.
619,"Read out cached package applicability for package: Package_for_KB2703157~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:0"
620,Session: 30546174_93642363 initialized by client WindowsUpdateAgent.
621,"Read out cached package applicability for package: Package_for_KB3133977~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
622,Session: 30546174_94042385 initialized by client WindowsUpdateAgent.
623,"Read out cached package applicability for package: Package_for_KB3109094~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
624,Session: 30546174_94182393 initialized by client WindowsUpdateAgent.
625,"Read out cached package applicability for package: Package_for_KB2506212~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
626,Session: 30546174_94222396 initialized by client WindowsUpdateAgent.
627,"Read out cached package applicability for package: Package_for_KB3076949~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
628,Session: 30546174_94392405 initialized by client WindowsUpdateAgent.
629,Session: 30546174_94722424 initialized by client WindowsUpdateAgent.
630,"Read out cached package applicability for package: Package_for_KB2871997~31bf3856ad364e35~amd64~~6.1.2.5, ApplicableState: 112, CurrentState:112"
631,Session: 30546174_97232568 initialized by client WindowsUpdateAgent.
632,"Read out cached package applicability for package: Package_for_KB3164035~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
633,Session: 30546174_97282571 initialized by client WindowsUpdateAgent.
634,Session: 30546174_97402578 initialized by client WindowsUpdateAgent.
635,"Read out cached package applicability for package: Package_for_KB2574819~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112"
636,Session: 30546174_97982611 initialized by client WindowsUpdateAgent.
637,"Read out cached package applicability for package: Microsoft-Windows-RDP-WinIP-Package-TopLevel~31bf3856ad364e35~amd64~~7.1.7601.16398, ApplicableState: 112, CurrentState:112"
638,Session: 30546174_98162621 initialized by client WindowsUpdateAgent.
639,"Read out cached package applicability for package: Package_for_KB2843630~31bf3856ad364e35~amd64~~6.1.3.1, ApplicableState: 112, CurrentState:112"
640,Session: 30546174_99082674 initialized by client WindowsUpdateAgent.
641,"Read out cached package applicability for package: Package_for_KB2862330~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112"
642,Session: 30546174_99222682 initialized by client WindowsUpdateAgent.
643,"Read out cached package applicability for package: Package_for_KB2834140~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:0"
644,Session: 30546174_99252683 initialized by client WindowsUpdateAgent.
645,Session: 30546174_99402692 initialized by client WindowsUpdateAgent.
646,"Read out cached package applicability for package: Package_for_KB2726535~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
647,Session: 30546174_100742769 initialized by client WindowsUpdateAgent.
648,Session: 30546174_100772770 initialized by client WindowsUpdateAgent.
649,"Read out cached package applicability for package: Package_for_KB3046269~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
650,Session: 30546174_100922779 initialized by client WindowsUpdateAgent.
651,"Read out cached package applicability for package: Package_for_KB3139398~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
652,Session: 30546174_100952781 initialized by client WindowsUpdateAgent.
653,"Read out cached package applicability for package: Package_for_KB2719857~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
654,Session: 30546174_100982782 initialized by client WindowsUpdateAgent.
655,"Read out cached package applicability for package: Package_for_KB2603229~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
656,Session: 30546174_101102789 initialized by client WindowsUpdateAgent.
657,"Read out cached package applicability for package: Package_for_KB3109560~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
658,Session: 30546174_101172793 initialized by client WindowsUpdateAgent.
659,"Read out cached package applicability for package: Package_for_KB2807986~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
660,Session: 30546174_101232797 initialized by client WindowsUpdateAgent.
661,"Read out cached package applicability for package: Package_for_KB3135983~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
662,Session: 30546174_101272799 initialized by client WindowsUpdateAgent.
663,"Read out cached package applicability for package: Package_for_KB2667402~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112"
664,Session: 30546174_101322802 initialized by client WindowsUpdateAgent.
665,"Read out cached package applicability for package: Package_for_KB2791765~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
666,Session: 30546174_101632820 initialized by client WindowsUpdateAgent.
667,"Read out cached package applicability for package: Microsoft-Hyper-V-Integration-Services-Package~31bf3856ad364e35~amd64~~6.3.9600.18080, ApplicableState: 112, CurrentState:0"
668,Session: 30546174_101752826 initialized by client WindowsUpdateAgent.
669,"Read out cached package applicability for package: Package_for_KB3139940~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112"
670,Session: 30546174_101792829 initialized by client WindowsUpdateAgent.
671,"Read out cached package applicability for package: Package_for_KB2719033~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:0"
672,Session: 30546174_101842832 initialized by client WindowsUpdateAgent.
673,"Read out cached package applicability for package: Package_for_KB3109103~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
674,Session: 30546174_101902835 initialized by client WindowsUpdateAgent.
675,"Read out cached package applicability for package: Package_for_KB2864202~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
676,Session: 30546174_102002841 initialized by client WindowsUpdateAgent.
677,"Read out cached package applicability for package: Package_for_KB3074543~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
678,Session: 30546174_102442866 initialized by client WindowsUpdateAgent.
679,"Read out cached package applicability for package: Package_for_KB3040272~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112"
680,Session: 30546174_103902949 initialized by client WindowsUpdateAgent.
681,"Read out cached package applicability for package: Package_for_KB3142042~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
682,Session: 30546174_104472982 initialized by client WindowsUpdateAgent.
683,"Read out cached package applicability for package: Package_for_KB3042058~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112"
684,Session: 30546174_106683108 initialized by client WindowsUpdateAgent.
685,"Read out cached package applicability for package: Package_for_KB3023215~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
686,Session: 30546174_106973125 initialized by client WindowsUpdateAgent.
687,"Read out cached package applicability for package: Package_for_KB3108381~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
688,Session: 30546174_107003127 initialized by client WindowsUpdateAgent.
689,"Read out cached package applicability for package: Package_for_KB2868038~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
690,Session: 30546174_107053130 initialized by client WindowsUpdateAgent.
691,"Read out cached package applicability for package: Package_for_KB2750841~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 112, CurrentState:112"
692,Session: 30546174_107333146 initialized by client WindowsUpdateAgent.
693,"Read out cached package applicability for package: Package_for_KB3185911~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
694,Session: 30546174_107363147 initialized by client WindowsUpdateAgent.
695,"Read out cached package applicability for package: Package_for_KB3138910~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
696,Session: 30546174_107383149 initialized by client WindowsUpdateAgent.
697,"Read out cached package applicability for package: Package_for_KB2862335~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
698,Session: 30546174_107523157 initialized by client WindowsUpdateAgent.
699,"Read out cached package applicability for package: Package_for_KB2908783~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
700,Session: 30546174_108313202 initialized by client WindowsUpdateAgent.
701,"Read out cached package applicability for package: Package_for_KB3020393~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 64, CurrentState:0"
702,Session: 30546174_108353204 initialized by client WindowsUpdateAgent.
703,"Read out cached package applicability for package: Package_for_KB2772930~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 0, CurrentState:0"
704,Session: 30546174_108613219 initialized by client WindowsUpdateAgent.
705,"Read out cached package applicability for package: Package_for_KB2621146~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 0, CurrentState:0"
706,Session: 30546174_108633220 initialized by client WindowsUpdateAgent.
707,"Read out cached package applicability for package: Package_for_KB2601626~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 0, CurrentState:0"
708,Session: 30546174_108683223 initialized by client WindowsUpdateAgent.
709,"Read out cached package applicability for package: Package_for_KB2923545~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
710,Session: 30546174_108903235 initialized by client WindowsUpdateAgent.
711,"Read out cached package applicability for package: Package_for_KB2509553~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
712,Session: 30546174_109123248 initialized by client WindowsUpdateAgent.
713,"Read out cached package applicability for package: Package_for_KB2758857~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112"
714,Session: 30546174_110243312 initialized by client WindowsUpdateAgent.
715,"Read out cached package applicability for package: Package_for_KB2846960~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 80, CurrentState:112"
716,Session: 30546174_110453324 initialized by client WindowsUpdateAgent.
717,"Read out cached package applicability for package: Package_for_KB2770660~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
718,Session: 30546174_130874492 initialized by client WindowsUpdateAgent.
719,"Read out cached package applicability for package: Package_for_KB3123479~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
720,Session: 30546174_131324518 initialized by client WindowsUpdateAgent.
721,"Read out cached package applicability for package: Package_for_KB3072630~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112"
722,Session: 30546174_132374578 initialized by client WindowsUpdateAgent.
723,"Read out cached package applicability for package: Package_for_KB3179573~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
724,Session: 30546174_132424581 initialized by client WindowsUpdateAgent.
725,"Read out cached package applicability for package: Microsoft-Hyper-V-Integration-Services-Package~31bf3856ad364e35~amd64~~6.3.9600.17903, ApplicableState: 112, CurrentState:0"
726,Session: 30546174_132514586 initialized by client WindowsUpdateAgent.
727,"Read out cached package applicability for package: Package_for_KB2952664~31bf3856ad364e35~amd64~~6.1.19.0, ApplicableState: 112, CurrentState:112"
728,Session: 30546174_132544588 initialized by client WindowsUpdateAgent.
729,"Read out cached package applicability for package: Package_for_KB3149090~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
730,Session: 30546174_132944611 initialized by client WindowsUpdateAgent.
731,"Read out cached package applicability for package: Package_for_KB3178034~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
732,Session: 30546174_132984613 initialized by client WindowsUpdateAgent.
733,"Read out cached package applicability for package: Package_for_KB3097989~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
734,Session: 30546174_133134621 initialized by client WindowsUpdateAgent.
735,"Read out cached package applicability for package: Package_for_KB2853587~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 0, CurrentState:0"
736,Session: 30546174_137784887 initialized by client WindowsUpdateAgent.
737,"Read out cached package applicability for package: Package_for_KB2732059~31bf3856ad364e35~amd64~~6.1.5.1, ApplicableState: 112, CurrentState:112"
738,Session: 30546174_138284916 initialized by client WindowsUpdateAgent.
739,"Read out cached package applicability for package: Package_for_KB3164033~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
740,Session: 30546174_138824947 initialized by client WindowsUpdateAgent.
741,"Read out cached package applicability for package: Package_for_KB3080149~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
742,Session: 30546174_143845234 initialized by client WindowsUpdateAgent.
743,"Read out cached package applicability for package: Package_for_KB3046017~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
744,Session: 30546174_143875236 initialized by client WindowsUpdateAgent.
745,"Read out cached package applicability for package: Package_for_KB3067904~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 80, CurrentState:0"
746,Session: 30546174_143895237 initialized by client WindowsUpdateAgent.
747,"Read out cached package applicability for package: Package_for_KB2912390~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
748,Session: 30546174_144035245 initialized by client WindowsUpdateAgent.
749,"Read out cached package applicability for package: Package_for_KB2632503~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:0"
750,Session: 30546174_144085248 initialized by client WindowsUpdateAgent.
751,"Read out cached package applicability for package: Package_for_KB2991963~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
752,Session: 30546174_144115249 initialized by client WindowsUpdateAgent.
753,"Read out cached package applicability for package: Package_for_KB2911501~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112"
754,Session: 30546174_144435268 initialized by client WindowsUpdateAgent.
755,"Read out cached package applicability for package: Package_for_KB2984972~31bf3856ad364e35~amd64~~6.1.1.4, ApplicableState: 112, CurrentState:112"
756,Session: 30546174_147195426 initialized by client WindowsUpdateAgent.
757,"Read out cached package applicability for package: Package_for_KB3121461~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 80, CurrentState:112"
758,Session: 30546174_147205426 initialized by client WindowsUpdateAgent.
759,"Read out cached package applicability for package: Package_for_KB3161958~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
760,Session: 30546174_147585448 initialized by client WindowsUpdateAgent.
761,"Read out cached package applicability for package: Package_for_KB2888049~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112"
762,Session: 30546174_147765458 initialized by client WindowsUpdateAgent.
763,"Read out cached package applicability for package: Package_for_KB2773072~31bf3856ad364e35~amd64~~6.1.1.5, ApplicableState: 112, CurrentState:112"
764,Session: 30546174_149225542 initialized by client WindowsUpdateAgent.
765,"Read out cached package applicability for package: Package_for_KB2579686~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
766,Session: 30546174_149265544 initialized by client WindowsUpdateAgent.
767,"Read out cached package applicability for package: Package_for_KB3075222~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:0"
768,Session: 30546174_149285545 initialized by client WindowsUpdateAgent.
769,"Read out cached package applicability for package: Microsoft-Windows-Embedded-EmbeddedLockdown-Package-TopLevel~31bf3856ad364e35~amd64~~7.1.7601.16511, ApplicableState: 112, CurrentState:0"
770,Session: 30546174_149295546 initialized by client WindowsUpdateAgent.
771,"Read out cached package applicability for package: Package_for_KB2544893~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112"
772,Session: 30546174_149325547 initialized by client WindowsUpdateAgent.
773,"Read out cached package applicability for package: Package_for_KB2685939~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 80, CurrentState:112"
774,Session: 30546174_149405552 initialized by client WindowsUpdateAgent.
775,"Read out cached package applicability for package: Package_for_KB2729452~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112"
776,Session: 30546174_154395837 initialized by client WindowsUpdateAgent.
777,"Read out cached package applicability for package: Package_for_KB3020388~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
778,Session: 30546174_154615850 initialized by client WindowsUpdateAgent.
779,"Read out cached package applicability for package: Package_for_KB2742599~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
780,Session: 30546174_155085877 initialized by client WindowsUpdateAgent.
781,"Read out cached package applicability for package: Package_for_KB3181988~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
782,Session: 30546174_155245886 initialized by client WindowsUpdateAgent.
783,"Read out cached package applicability for package: Package_for_KB2685813~31bf3856ad364e35~amd64~~6.1.1.11, ApplicableState: 112, CurrentState:112"
784,Session: 30546174_155605907 initialized by client WindowsUpdateAgent.
785,"Read out cached package applicability for package: Package_for_KB2690533~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
786,Session: 30546174_155755915 initialized by client WindowsUpdateAgent.
787,"Read out cached package applicability for package: Package_for_KB3075249~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112"
788,Session: 30546174_156625965 initialized by client WindowsUpdateAgent.
789,"Read out cached package applicability for package: Package_for_KB3156016~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
790,Session: 30546174_156695969 initialized by client WindowsUpdateAgent.
791,"Read out cached package applicability for package: Package_for_KB3139914~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
792,Session: 30546174_156715970 initialized by client WindowsUpdateAgent.
793,"Read out cached package applicability for package: Package_for_KB2621440~31bf3856ad364e35~amd64~~6.1.1.5, ApplicableState: 112, CurrentState:112"
794,Session: 30546174_156785974 initialized by client WindowsUpdateAgent.
795,"Read out cached package applicability for package: Package_for_KB3054476~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
796,Session: 30546174_156825976 initialized by client WindowsUpdateAgent.
797,"Read out cached package applicability for package: Package_for_KB3122648~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
798,Session: 30546174_157005987 initialized by client WindowsUpdateAgent.
799,"Read out cached package applicability for package: Package_for_KB3042553~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
800,Session: 30546174_157105992 initialized by client WindowsUpdateAgent.
801,"Read out cached package applicability for package: Package_for_KB2732487~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112"
802,Session: 30546174_157135994 initialized by client WindowsUpdateAgent.
803,"Read out cached package applicability for package: Package_for_KB3005607~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112"
804,Session: 30546174_157145995 initialized by client WindowsUpdateAgent.
805,Session: 30546174_157205998 initialized by client WindowsUpdateAgent.
806,"Read out cached package applicability for package: Package_for_KB3184143~31bf3856ad364e35~amd64~~6.1.1.4, ApplicableState: 112, CurrentState:112"
807,Session: 30546174_157616022 initialized by client WindowsUpdateAgent.
808,"Read out cached package applicability for package: Package_for_KB2992611~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
809,Session: 30546174_159636137 initialized by client WindowsUpdateAgent.
810,"Read out cached package applicability for package: Package_for_KB2727528~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
811,Session: 30546174_159666139 initialized by client WindowsUpdateAgent.
812,"Read out cached package applicability for package: Package_for_KB2506014~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
813,Session: 30546174_164936440 initialized by client WindowsUpdateAgent.
814,"Read out cached package applicability for package: Package_for_KB2868116~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112"
815,Session: 30546174_165556476 initialized by client WindowsUpdateAgent.
816,"Read out cached package applicability for package: Package_for_KB2861698~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
817,Session: 30546174_165596478 initialized by client WindowsUpdateAgent.
818,"Read out cached package applicability for package: Package_for_KB3092627~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
819,Session: 30546174_165696484 initialized by client WindowsUpdateAgent.
820,"Read out cached package applicability for package: Package_for_KB2984976~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 80, CurrentState:112"
821,Session: 30546174_165966499 initialized by client WindowsUpdateAgent.
822,"Read out cached package applicability for package: Package_for_KB3102429~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112"
823,Session: 30546174_166396524 initialized by client WindowsUpdateAgent.
824,"Read out cached package applicability for package: Package_for_KB3005788~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:0"
825,Session: 30546174_167286575 initialized by client WindowsUpdateAgent.
826,"Read out cached package applicability for package: Package_for_KB3006121~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"
827,Session: 30546174_167476586 initialized by client WindowsUpdateAgent.
828,"Read out cached package applicability for package: Package_for_KB2813430~31bf3856ad364e35~amd64~~6.1.1.4, ApplicableState: 112, CurrentState:112"
829,Session: 30546174_169016674 initialized by client WindowsUpdateAgent.
